ID;ID-ELEMENTO 01;ELEMENTO 01;ID-ELEMENTO 02;ELEMENTO 02;ID-ELEMENTO 03;ELEMENTO 03;ID-ELEMENTO 04;ELEMENTO 04;ID-ELEMENTO 05;ELEMENTO 05;DISCIPLINA 01;DISCIPLINA 02;DISCIPLINA 03;DISCIPLINA 04;DISCIPLINA 05;DISCIPLINA 06;DISCIPLINA 07;STATUS;EMPREENDIMENTO;RESPONSÁVEL;FASE;TIPO;LOCAL;PRAZO;PRIORIDADE;PRIMEIRA ALTERAÇÃO;ÚLTIMA ALTERAÇÃO;MARCADOR 01;MARCADOR 02;MARCADOR 03
62;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Tipo;-;NORMAL;03/05/2022;22/08/2022;I;;
63;9604;Shaft;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Concepção de projeto;Pavimento Tipo;-;CRÍTICO;03/05/2022;22/08/2022;I;S;
64;7069;Pé direito;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Semienterrado;-;NORMAL;03/05/2022;20/08/2022;I;;
65;7895;Esquadria;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;CRÍTICO;03/05/2022;20/08/2022;I;;
66;7373;Detalhe construtivo;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;-;SIMPLES;03/05/2022;20/08/2022;I;;
67;4620;Muro;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Ausência;Casa de lixo e gás;-;SIMPLES;03/05/2022;20/08/2022;;;D
68;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;03/05/2022;03/05/2022;VERIFICAR;VERIFICAR;VERIFICAR
69;9003;Arquivo disponibilizaddo;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;-;NORMAL;04/05/2022;20/08/2022;I;;
70;4043;Alvenaria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;04/05/2022;20/08/2022;I;S;
71;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;-;NORMAL;04/05/2022;20/08/2022;I;;
72;9604;Shaft/Coluna falsa;;;;;;;;;Arquitetura; Estrutura; Hidrossanitário;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;CRÍTICO;22/06/2022;20/08/2022;I;;
73;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;-;SIMPLES;22/06/2022;20/08/2022;I;;
74;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;22/06/2022;20/08/2022;I;;
75;4233;Cuba/Lavatório;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;NORMAL;27/06/2022;20/08/2022;I;;
76;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;-;SIMPLES;27/06/2022;20/08/2022;I;;
77;4233;Cuba/Lavatório;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Coberta;-;SIMPLES;27/06/2022;22/08/2022;I;;
78;4043;Alvenaria;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Coberta;-;SIMPLES;27/06/2022;22/08/2022;I;;
79;4496;Viga;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Falha de representação;Pavimento Coberta;-;NORMAL;27/06/2022;20/08/2022;I;;
80;7640;Piscina;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;I;;
